sku_name,sales_2021,sales_2022,sales_difference
dawlance_91996 - H-ZONE PLUS Refrigerator with Dawlance MD-7 20L,2,0,-2
edukaan_7101-A4 - 300 Pages,2,0,-2
edukaan_7157-A4 - 300 Pages,2,0,-2
emarthazir_BBQ Pro Kit-Lahore,2,0,-2
fitn_631656703276,2,0,-2
fitn_631656708554,2,0,-2
fitn_748927053531,2,0,-2
gree_12CZ8,2,0,-2
gree_18CZ8,2,0,-2
greenroot_Oil For Oily Hair,2,0,-2
greenroot_Weight plus,2,0,-2
guess_W0289L1,2,0,-2
hijabh_0120-BC-759 (1,2,0,-2
infinix_Note 2 Grey,2,0,-2
interwood_HA-K17W105-23575,2,0,-2
interwood_HF-19-C5929-22200,2,0,-2
iphone_7-plus-32gb-wof-Matt Black,2,0,-2
jackpot_Microwave Oven -JP-932 ,2,0,-2
kke_SCF690-27,2,0,-2
lalqila_Achar Gosht-850gm,2,0,-2
lalqila_Mughlai Pasandy-850gm,2,0,-2
lalqila_Shahi Nihari-850gm,2,0,-2
lamp_Lamp Shade Round 4 ,2,0,-2
lenovo_80HR00AKUE,5,3,-2
liberty_9780241957110,2,0,-2
liberty_9780521677004,2,0,-2
liberty_9781447218890,2,0,-2
liberty_9789351361725,2,0,-2
liberty_9789351365938,2,0,-2
liberty_Brown Zipper Jacket for Boys / Girls-16 yrs - above - Si,2,0,-2
liberty_Maroon Pullover for Boys-4 - 5 yrs - Size 24,2,0,-2
madela_ DISPOSABLE BRA PADS,2,0,-2
mitsubishi_1.5 ton SRC 18CLK,2,0,-2
mt_BL001321-32Oz,2,0,-2
noritake_NT4276M,2,0,-2
phub_Armani Mania ,2,0,-2
phub_Chance Eau Tendre  by Chanel 150mlml EDT,2,0,-2
phub_Obsession by Calvin Klein 100ml EDP,2,0,-2
redspot_9789696230007,2,0,-2
redspot_9789810550127,2,0,-2
redspot_9789810594718,3,1,-2
renna_LL-BBP-WN,2,0,-2
rhythm_G1107S-04,2,0,-2
rute2_4533,2,0,-2
rute2_SlimStyles MR Vanilla ,2,0,-2
samsung_50J5100,2,0,-2
sanasafinaz_march16_11A-Nationwide Delivery,2,0,-2
sanasafinaz_march16_16A-Nationwide Delivery,2,0,-2
sanasafinaz_march16_1A-Nationwide Delivery,2,0,-2
sanasafinaz_march16_9A-Nationwide Delivery,2,0,-2
seagate_SG E-2TB,2,0,-2
shubinak_SN-MB-03,2,0,-2
shubinak_SWW14-BS-240B,2,0,-2
sinbo_7027,2,0,-2
smo_30 Pieces Oranges - 5kg,2,0,-2
snap_Snap Car-care Kit,3,1,-2
sony_DSLR-ILCE-5000Y,3,1,-2
sputnik_701/D14-9,2,0,-2
sstop_Universallensclipkit,2,0,-2
stinnos_1569,2,0,-2
tcl_32 inch D2730 Golive-2 LED TV,2,0,-2
timex_T2N942,2,0,-2
timex_T2P398,2,0,-2
tisot_wtch_13,2,0,-2
un_Health and Hygiene Bundle_HB,2,0,-2
xenium_DFC-201668,2,0,-2
zubairco_003569,2,0,-2
3m_70005045094,1,0,-1
3m_DC272923871,1,0,-1
AKL_A01136184-AW-10-Light Pink,1,0,-1
AKL_A01136192-AW-38-Yellow,1,0,-1
AKL_A131128708_SS-8_Pink,1,0,-1
AKL_A131128712_SS-48_Yellow,1,0,-1
AKL_A131128715_SS-127_Purple,1,0,-1
AKL_A131128720_SS-14_Grey,1,0,-1
AKL_A131128762_SS-22_Ferozi,1,0,-1
AKL_A131128828_SS-102_Brown,1,0,-1
AKL_A131130447_SS-141_Purple,1,0,-1
AKL_A131130455_SS-145_Black,1,0,-1
AKL_A131130456_SS-145_Navy Blue,1,0,-1
AKL_A131130478_SS-165_Grey,1,0,-1
AKL_A131130487_SS-31_Light Olive,1,0,-1
AKL_A131130488_SS-31_Peach,1,0,-1
AKL_A131130501_SS-154_Purple,1,0,-1
AKL_A131130512_SS-164_Grey,1,0,-1
AKL_A131131283_FC-02,1,0,-1
AKL_A131131287_FC-06,1,0,-1
AKL_A131133495_MS-04_Purple,1,0,-1
AKL_A131135334-FW-29-Brown,1,0,-1
